priority,company_name,work_permits,location_hq,employees,revenue_msek,contact_name,contact_title,contact_linkedin
Tier 1 - High Priority,Ericsson Ab,1290,Kista,13529.0,139441.0,,,
Tier 1 - High Priority,Scania Cv Aktiebolag,1162,Södertälje,19336.0,128418.0,,,
Tier 1 - High Priority,Tata Consultancy Services Sverige Aktiebolag,1117,Stockholm,173.0,5630.0,,,
Tier 1 - High Priority,H & M Hennes & Mauritz Gbc Ab,444,Stockholm,,,,,
Tier 1 - High Priority,Klarna Bank Ab,299,Stockholm,851.0,3162.0,,,
Tier 1 - High Priority,Karolinska Institutet,255,Solna,7500.0,,,,
Tier 1 - High Priority,Swedbank Ab,176,Sundbyberg,7500.0,,,,
Tier 1 - High Priority,Capgemini Sverige Ab,176,Stockholm,2336.0,6483.0,,,
Tier 1 - High Priority,Internationella Engelska Skolan I Sverige Ab,159,Danderyd,3683.0,3950.0,,,
Tier 1 - High Priority,Spotify Ab,150,Stockholm,1397.0,108132.0,,,
Tier 1 - High Priority,"Nordea Bank Abp, Filial I Sverige",134,Stockholm,5000.0,,,,
Tier 1 - High Priority,Infosys Limited Indien Filial,122,Stockholm,350.0,,,,
Tier 1 - High Priority,Aktiebolaget Electrolux,116,Stockholm,,,,,
Tier 1 - High Priority,Ernst & Young Aktiebolag,113,Stockholm,3376.0,6795.0,,,
Tier 1 - High Priority,Skandinaviska Enskilda Banken Ab,111,Stockholm,5000.0,,,,
Tier 1 - High Priority,Kth Royal Institute Of Technology,111,Stockholm,5000.0,,,,
Tier 1 - High Priority,Volvo Personvagnar Aktiebolag,106,Göteborg,19317.0,302609.0,,,
Tier 2 - Medium Priority,Northvolt Ab,97,Stockholm,1493.0,2053.0,,,
Tier 2 - Medium Priority,Pongpower Ab,94,Stockholm,107.0,55.0,,,
Tier 2 - Medium Priority,Midasplayer Ab,93,Stockholm,714.0,7636.0,,,
Tier 2 - Medium Priority,Kindred People Ab,91,Stockholm,375.0,1637.0,,,
Tier 2 - Medium Priority,Ea Digital Illusions Ce Ab,83,Stockholm,699.0,1761.0,,,
Tier 2 - Medium Priority,Kpmg Ab,80,Stockholm,1910.0,3936.0,,,
Tier 2 - Medium Priority,Huawei Technologies Sweden Ab,80,Solna,196.0,2726.0,,,
Tier 2 - Medium Priority,Northvolt Ett Ab,77,Skellefteå,2027.0,1385.0,,,
