company_name,work_permits,location_hq,employees,revenue_msek,contact_name,contact_title,contact_linkedin
Ericsson Ab,1290,Kista,13529.0,139441.0,,,
Scania Cv Aktiebolag,1162,Södertälje,19336.0,128418.0,,,
Tata Consultancy Services Sverige Aktiebolag,1117,Stockholm,173.0,5630.0,,,
H & M Hennes & Mauritz Gbc Ab,444,Stockholm,,,,,
Klarna Bank Ab,299,Stockholm,851.0,3162.0,,,
Karolinska Institutet,255,Solna,7500.0,,,,
Swedbank Ab,176,Sundbyberg,7500.0,,,,
Capgemini Sverige Ab,176,Stockholm,2336.0,6483.0,,,
Internationella Engelska Skolan I Sverige Ab,159,Danderyd,3683.0,3950.0,,,
Spotify Ab,150,Stockholm,1397.0,108132.0,,,
"Nordea Bank Abp, Filial I Sverige",134,Stockholm,5000.0,,,,
Infosys Limited Indien Filial,122,Stockholm,350.0,,,,
Aktiebolaget Electrolux,116,Stockholm,,,,,
Ernst & Young Aktiebolag,113,Stockholm,3376.0,6795.0,,,
Kth Royal Institute Of Technology,111,Stockholm,5000.0,,,,
Skandinaviska Enskilda Banken Ab,111,Stockholm,5000.0,,,,
Volvo Personvagnar Aktiebolag,106,Göteborg,19317.0,302609.0,,,
Northvolt Ab,97,Stockholm,1493.0,2053.0,,,
Pongpower Ab,94,Stockholm,107.0,55.0,,,
Midasplayer Ab,93,Stockholm,714.0,7636.0,,,
Kindred People Ab,91,Stockholm,375.0,1637.0,,,
Ea Digital Illusions Ce Ab,83,Stockholm,699.0,1761.0,,,
Kpmg Ab,80,Stockholm,1910.0,3936.0,,,
Huawei Technologies Sweden Ab,80,Solna,196.0,2726.0,,,
Northvolt Ett Ab,77,Skellefteå,2027.0,1385.0,,,
Accenture Ab,76,Stockholm,1179.0,6416.0,,,
Region Stockholm,74,Stockholm,10000.0,,,,
Electrolux It Solutions Aktiebolag,74,Stockholm,,,,,
Broadridge Trading And Connectivity Solutions Ab,69,Stockholm,106.0,1845.0,,,
Öhrlings Pricewaterhousecoopers Ab,68,Stockholm,3100.0,6151.0,,,
Alten Sverige Aktiebolag,68,Göteborg,1194.0,1247.0,,,
Gears Of Leo Ab,66,Stockholm,283.0,794.0,,,
Minnovation International Ab,61,Stockholm,307.0,346.0,,,
True Software Scandinavia Ab,59,Stockholm,,,,,
Mw Field Service Ab,59,Stockholm,,,,,
"Ltimindtree Sverige, Filial Till Ltimindtree Lim",58,Kista,150.0,,,,
Fatalist Development Ab,58,Stockholm,473.0,827.0,,,
Paradox Development Studio Ab,58,Stockholm,266.0,589.0,,,
Scandinavian Airlines System Denmark -Norway-Swe,57,Solna,1750.0,,,,
Stockholms Universitet,56,Stockholm,7500.0,,,,
Åf-Industry Ab,51,Stockholm,3212.0,6438.0,,,
Cognizant Technology Solutions Sweden Ab,50,Stockholm,151.0,348.0,,,
Sellhelp Ab,50,Stockholm,381.0,1618.0,,,
Deloitte Ab,49,Stockholm,1696.0,4442.0,,,
Atlas Copco Industrial Technique Aktiebolag,49,Stockholm,126.0,,,,
Stockholm University,49,Stockholm,7500.0,,,,
Max Burgers Aktiebolag,48,Luleå,3498.0,4957.0,,,
Hcl Technologies Sweden Ab,48,Stockholm,841.0,5547.0,,,
Electrolux Appliances Aktiebolag,47,Stockholm,264.0,,,,
Cgi Sverige Ab,47,Solna,3406.0,5535.0,,,
Epidemic Sound Ab,47,Stockholm,467.0,1578.0,,,
Hemfrid I Sverige Ab,45,Stockholm,1855.0,1047.0,,,
Alfa Laval Technologies Ab,43,Lund,3500.0,,,,
Viaplay Group Sweden Ab,43,Stockholm,,,,,
Kambi Sweden Ab,41,Stockholm,309.0,720.0,,,
"Paypal Limited, Filial Sweden",40,Stockholm,,,,,
Pressens Morgontjänst Kb,39,Stockholm,750.0,,,,
Mentimeter Ab (Publ),39,Stockholm,378.0,536.0,,,
"Wipro Sweden Filial Till Wipro Ltd, Indien",39,Stockholm,150.0,,,,
Oriflame Cosmetics Ab,38,Stockholm,247.0,390.0,,,
Postnord Group Ab,38,Solna,,,,,
Sogeti Sverige Ab,37,Stockholm,,,,,
Alstom Rail Sweden Ab,36,Stockholm,,,,,
Tele2 Sverige Aktiebolag,35,Stockholm,,,,,
Karolinska Institute,33,Solna,7500.0,,,,
Embark Studios Ab,32,Stockholm,287.0,422.0,,,
Capgemini Engineering Sverige Ab,31,Göteborg,,,,,
Rovio Sweden Ab,31,Stockholm,,,,,
Hyper Core Ab,31,Stockholm,,,,,
Kungliga Operan Aktiebolag,31,Stockholm,597.0,679.0,,,
Åf Digital Solutions Ab,30,Stockholm,,,,,
Hitachi Energy Sweden Ab,30,Västerås,5757.0,35610.0,,,
Northvolt Systems Ab,29,Stockholm,383.0,1052.0,,,
Vattenfall Ab,29,Solna,2391.0,47711.0,,,
"Amazon Web Services Emea Sarl, Sverige Filial",29,Stockholm,,,,,
Länsförsäkringar Ab (Publ),29,Stockholm,,,,,
Pramit Construction Filial,29,Stockholm,,,,,
Kungliga Tekniska Högskolan,28,Stockholm,5000.0,,,,
L&T Technology Services Sverige Filial,28,Stockholm,,,,,
Tink Ab,28,Stockholm,,,,,
Nasdaq Technology Ab,27,Stockholm,,,,,
Hi3g Access Ab,27,Stockholm,,,,,
Knowit Connectivity Ab,27,Stockholm,281.0,567.0,,,
Attendo Sverige Ab,26,Danderyd,7146.0,5344.0,,,
Folktandvården Stockholms Län Ab,25,Stockholm,1885.0,1936.0,,,
Oneflow Ab,24,Stockholm,134.0,175.0,,,
Netlight Consulting Ab,24,Stockholm,851.0,1145.0,,,
Knightec Aktiebolag,23,Örnsköldsvik,683.0,935.0,,,
H2gs Ab,23,Stockholm,,,,,
Samsung Electronics Nordic Aktiebolag,23,Kista,288.0,19543.0,,,
Come On Stockholm Ab,22,Stockholm,,,,,
Resolution Games Ab,22,Stockholm,126.0,183.0,,,
Snow Software Ab,22,Solna,21.0,99.0,,,
E & E Ventilation Stockholm Ab,22,Stockholm,,,,,
Sushi Centralen Ab,22,Stockholm,,,,,
Randstad Ab,22,Solna,2972.0,2513.0,,,
Mckinsey & Company Service Ab,22,Stockholm,361.0,1055.0,,,
Rebtel Networks Ab,22,Stockholm,44.0,1354.0,,,
Transtema Network Services Ab,21,Mölndal,755.0,1353.0,,,
Sweco Sverige Ab,21,Stockholm,6347.0,9283.0,,,
Abb Ab,21,Västerås,3087.0,17840.0,,,
Paradox Interactive Ab (Publ),21,Stockholm,181.0,2272.0,,,
Astrazeneca Ab,21,Södertälje,7543.0,225240.0,,,
Gyllene M:N Ab,21,Stockholm,,,,,
Dek Technologies Sweden Ab,21,Kista,69.0,269.0,,,
Giesecke+devrient Mobile Security Sweden Ab,21,Stockholm,,,,,
Ica Sverige Ab,20,Solna,6981.0,107794.0,,,
Rise Research Institutes Of Sweden Ab,20,Borås,2862.0,3805.0,,,
Acne Studios Ab,20,Stockholm,254.0,2158.0,,,
Majority Sweden Ab,20,Stockholm,56.0,87.0,,,
Sinch Sweden Ab,19,Stockholm,451.0,14587.0,,,
Telenor Sverige Aktiebolag,19,Solna,1631.0,14097.0,,,
Platform 24 Healthcare Ab,19,Stockholm,124.0,158.0,,,
Precis Digital Ab,19,Stockholm,140.0,368.0,,,
Qliro Ab,19,Stockholm,215.0,584.0,,,
Tieto Sweden Ab,19,Solna,,,,,
Telia Sverige Ab,18,Solna,4862.0,34069.0,,,
Avl Mtc Motortestcenter Ab,18,Haninge,,,,,
Jour Bemanning I Sverige Ab,18,Stockholm,,,,,
Blocket Ab,18,Stockholm,,,,,
Google Sweden Ab,18,Stockholm,433.0,1958.0,,,
Xylem Water Solutions Global Services Ab,18,Sundbyberg,274.0,1153.0,,,
If Skadeförsäkring Ab (Publ),18,Solna,2500.0,,,,
Voi Technology Ab,17,Stockholm,259.0,742.0,,,
Mckh Gipsputs Ab,17,Stockholm,,,,,
Cc Service Ab,17,Stockholm,,,,,
Digital Route Ab,17,Stockholm,113.0,419.0,,,
Tobii Ab,17,Danderyd,318.0,518.0,,,
10 Chambers Ab,17,Stockholm,110.0,51.0,,,
The Boston Consulting Group Nordic Ab,17,Stockholm,1157.0,5850.0,,,
Kanitas Ab,16,Stockholm,,,,,
Anocca Ab,16,Stockholm,,,,,
Soltia Ab,16,Stockholm,,,,,
Arrowhead Game Studios Ab,16,Stockholm,101.0,961.0,,,
