Företag,Ort,Omsättning (tkr),Org.nr,Status
A S Mark Och Trädgårdsentreprenad Ab,Ej funnen,,,"Ej funnen i Allabolag"
Bergsmark & Energi AB,Vreta Kloster,17065,556933-0474,Aktiv
BKS AB,Stockholm,9595,559179-6700,Aktiv
BMD Entreprenad Ab,Ej funnen,,,"Ej funnen i Allabolag"
Boom Consulting AB,Stockholm,1892,556449-7013,Aktiv
ByggBröderna Predragovic Aktiebolag,Hägersten,24710,556408-8598,Aktiv
Byggfirma Bra Offert Stockholm AB,Järfälla,1635,559198-9305,Aktiv
Chakari Mark & Bygg AB,Norsborg,9907,559189-7920,Aktiv
Dragstes Bygg AB,Tumba,6484,559361-7086,Aktiv
Edina Stensättning AB,Södertälje,29606,556302-8900,Aktiv
EMAB Anläggning Syd AB,Skogås,21452,556455-0795,Aktiv
EMMANIK Bygg och Mark AB,Gnesta,3235,559159-5540,Aktiv
Ferhat Kanat,Skärholmen,Ej tillgänglig,900526-XXXX,Enskild firma
Frank & Skyttberg Construction Company AB,Österhaninge,56342,559174-9378,Aktiv
Friss och Fniss Bygger AB,Spånga,2729,559159-2299,Aktiv
GW ASFALT & TRÄDGÅRDSANLÄGGNINGAR Aktiebolag,Vendelsö,197203,556457-8663,Aktiv
Haninge Grävtjänst AB,Tungelsta,17634,556917-7909,Aktiv
J&S Markservice AB,Nacka,53885,559056-0610,Aktiv
Janush gräv och bygg AB,Järfälla,8469,559192-4336,Aktiv
JB Mark & Bygg Ab,Ej funnen,,,"Ej funnen i Allabolag"
Keops AB,Södertälje,9752,559057-6046,Aktiv
Lekplatskonsulten Sureplay Aktiebolag,Aneby,51838,556616-2821,Aktiv
Lins Bygg AB,Tullinge,4450,559337-6360,Aktiv
LP MARK OCH ANLÄGGNING AB,Skogås,27356,559262-5494,Aktiv
M.M Mek-Mek Entreprenad AB,Tumba,44624,559239-3622,Aktiv
m3 schakt AB,Järna,354261,556771-9413,Aktiv
maskin & truckex AB,Södertälje,20802,559101-4914,Aktiv
MV Entreprenad & Mark AB,Västerhaninge,11822,559205-9256,Aktiv
N&S group AB,Skinnskatteberg,91134,556933-7198,Aktiv
Nadalex AB,Huddinge,7002,559026-0609,Aktiv
Nator AB,Sollentuna,65279,556969-0257,Aktiv
Nator Personal AB,Sollentuna,29120,559318-7569,Aktiv
Nitext AB,Tumba,44738,559157-5468,Aktiv
Norrland VA AB,Upplands Väsby,193120,556987-4257,Konkurs
Norsa Markentreprenader AB,Västerhaninge,2484,556641-5526,Aktiv
Optimal Mark & Skötsel i Stockholm AB,Älta,14741,559069-4302,Aktiv
Proingbygg Stockholm AB,Tullinge,19034,556967-3824,Aktiv
Rika Entreprenad AB,Spånga,113536,556924-1218,Aktiv
Rör & Processinstallation i Nyköping AB,Nyköping,7585,556740-7159,Aktiv
Southern Cross Contractor AB,Tyresö,419,556679-4938,Aktiv
SPAD Bygg AB,Västerhaninge,10136,559127-8659,Aktiv
STHLM Byggnads och Miljö AB,Enhörna,3686,556801-5704,Aktiv
Stonebreaker Stockholm AB,Hässelby,5448,559162-8176,Aktiv
Svensk Entreprenadteknik SET AB,Märsta,363180,556636-1449,Konkurs
Svensk Husgrund Helmers AB,Nacka Strand,17919,556316-0240,Aktiv
Tipi Bygg AB,Tumba,11900,559028-1571,Aktiv
TM Markmiljö AB,Västerhaninge,101429,556675-3371,Aktiv
Trendab Bygg AB,Jordbro,74197,559172-9115,Aktiv
Trigono International Hb,Ej funnen,,,"Ej funnen i Allabolag"
Vinn Transport AB,Huddinge,22930,556762-6709,Aktiv
VSM Entreprenad AB,Järfälla,1146790,556856-6011,Aktiv
